"STORE_ID","STORE_NAME","QTD_PRODUTOS","ESTOQUE_TOTAL"
1,"Online",46,347
17,"Perth",15,111
21,"Bejing",21,139
18,"São Paulo",22,142
22,"Tokyo",13,99
5,"Chicago",23,175
16,"Sydney",24,172
23,"Tel Aviv",23,134
2,"San Francisco",23,133
15,"New Dehli",25,140
4,"New York City",40,263
9,"Utrecht",40,194
14,"Mumbai",37,249
19,"Buenos Aires",43,299
8,"Berlin",23,129
12,"Lagos",20,116
3,"Seattle",22,90
13,"Vienna",27,173
7,"Bucharest",25,121
20,"Mexico City",12,54
11,"Johannesburg",24,135
10,"Madrid",17,82
6,"London",1,13
